"marketTicker","eventTitle","marketTitle","closeDate","volume","yesPrice","noPrice","lastTradePrice","position","averagePrice","exposure","positionReturns","lockedInReturns","totalReturns"
"KXALBUMEQUIV-APO26JUL30-20K","A*POP: First Week Album Equivalent Units","Above 20K","Aug 2, 2026 at 10:00am EDT","61.5","89¢","15¢","85¢","No x 1","16¢","$0.15","-$0.01","$0.00","-$0.01"
"KXAFLGAME-26JUL030610ADEWCE-ADE","Adelaide Crows vs West Coast Eagles","Adelaide Crows","Jul 17, 2026 at 6:10am EDT","9","80¢","21¢","79¢","No x 2","22¢","$0.42","-$0.02","$0.00","-$0.02"
"KXAFLGAME-26JUL030610ADEWCE-WCE","Adelaide Crows vs West Coast Eagles","West Coast Eagles","Jul 17, 2026 at 6:10am EDT","188","20¢","83¢","19¢","No x 2","82¢","$1.62","-$0.02","$0.00","-$0.02"
"KXADP-26JUL-T-25000","ADP employment change next month?","Above -25000","Aug 5, 2026 at 8:14am EDT","207","99¢","7¢","93¢","No x 7","7¢","$0.49","-$0.03","$0.00","-$0.03"
"KXADP-26JUL-T0","ADP employment change next month?","Above 0","Aug 5, 2026 at 8:14am EDT","7","94¢","16¢","84¢","No x 7","17¢","$1.12","-$0.07","$0.00","-$0.07"
"KXADP-26JUL-T100000","ADP employment change next month?","Above 100000","Aug 5, 2026 at 8:14am EDT","207","23¢","87¢","13¢","No x 1","88¢","$0.87","-$0.01","-$0.25","-$0.26"
"KXADP-26JUL-T125000","ADP employment change next month?","Above 125000","Aug 5, 2026 at 8:14am EDT","5","12¢","94¢","12¢","Yes x 2","13¢","$0.24","-$0.01","$0.00","-$0.01"
"KXADP-26JUL-T25000","ADP employment change next month?","Above 25000","Aug 5, 2026 at 8:14am EDT","428","85¢","25¢","75¢","No x 7","26¢","$1.75","-$0.09","$0.00","-$0.09"
"KXADP-26JUL-T50000","ADP employment change next month?","Above 50000","Aug 5, 2026 at 8:14am EDT","520","59¢","46¢","54¢","No x 5","48¢","$2.30","-$0.09","$0.00","-$0.09"
"KXADP-26JUL-T75000","ADP employment change next month?","Above 75000","Aug 5, 2026 at 8:14am EDT","495","35¢","71¢","30¢","No x 3","72¢","$2.11","-$0.06","-$0.20","-$0.25"
"KXADP-26JUN-T-25000","ADP employment change this month?","Above -25000","Jul 1, 2026 at 8:14am EDT","57","99¢","10¢","90¢","No x 5","23¢","$1.08","-$0.63","$0.00","-$0.63"
"KXADP-26JUN-T0","ADP employment change this month?","Above 0","Jul 1, 2026 at 8:14am EDT","250.78","99¢","17¢","50¢","No x 2","92¢","$1.84","-$0.84","$0.00","-$0.84"
"KXADP-26JUN-T100000","ADP employment change this month?","Above 100000","Jul 1, 2026 at 8:14am EDT","1592.18","85¢","63¢","67¢","No x 2","35¢","$0.66","-$0.03","$0.00","-$0.03"
"KXADP-26JUN-T25000","ADP employment change this month?","Above 25000","Jul 1, 2026 at 8:14am EDT","612","98¢","24¢","21¢","No x 2","80¢","$1.58","-$0.02","$0.00","-$0.02"
"KXADP-26JUN-T50000","ADP employment change this month?","Above 50000","Jul 1, 2026 at 8:14am EDT","2304.92","97¢","38¢","28¢","No x 4","81¢","$3.19","-$0.35","$0.00","-$0.35"
"KXADP-26JUN-T75000","ADP employment change this month?","Above 75000","Jul 1, 2026 at 8:14am EDT","1167.78","97¢","48¢","34¢","No x 4.25","50¢","$2.05","+$0.70","$0.00","+$0.70"
"KXAISPIKE-27B-1520","AI capability growth this year?","At least 1520 score","Jan 1, 2027 at 10:00am EST","1071","68¢","38¢","67¢","No x 2","84¢","$1.68","-$1.02","$0.00","-$1.02"
"KXAISPIKE-27B-1530","AI capability growth this year?","At least 1530 score","Jan 1, 2027 at 10:00am EST","1208.5","51¢","54¢","57¢","No x 2","84¢","$1.68","-$0.82","$0.00","-$0.82"
"KXAISPIKE-27B-1540","AI capability growth this year?","At least 1540 score","Jan 1, 2027 at 10:00am EST","426","35¢","70¢","38¢","No x 2","84¢","$1.68","-$0.44","$0.00","-$0.44"
"KXAISPIKE-27-1550","AI capability growth this year?","At least 1550 score","Jan 1, 2027 at 10:00am EST","32817.5","28¢","76¢","30¢","No x 2","72¢","$1.42","-$0.05","$0.00","-$0.05"
"KXABNB-26AUGNEB-P141000000","Airbnb bookings in Q2","Above 141 million","Sep 4, 2026 at 4:00pm EDT","1692","99¢","6¢","94¢","No x 2","6¢","$0.12","-$0.01","$0.00","-$0.01"
